# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
tree.txt
ground.txt


#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h


# MARIO
0	50	178

#Platform
5 	0	194	16	16	39	51000	52000	53000
5	624	194	16	16	29	54000	55000	56000
5	624	178	16	16	29	51000	52000	53000
5	1152	194	16	16	22	51000	52000	53000
5	1536	194	16	16	5	51000	52000	53000
5	1664	194	16	16	36	51000	52000	53000
5	2256	194	16	16	35	51000	52000	53000

#Tree
6	16	178	63000
6	32	178	64000
6	48	178	64000
6	64	178	64000
6	80	178	67000
6	96	178	66000
6	112	178	64000
6	128	178	65000
6	16	162	63000
6	32	162	67000
6	48	162	66000
6	64	162	64000
6	80	162	65000
6	96	162	63000
6	112	162	67000
6	128	162	62000
6	16	146	61000
6	32	146	66000
6	48	146	65000
6	64	146	61000
6	80	146	62000
6	96	146	61000
6	112	146	62000
6	32	130	61000
6	48	130	62000

6	814	162	61000
6	830	162	66000
6	846	162	64000
6	862	162	64000
6	878	162	64000
6	894	162	64000
6	910	162	64000
6	926	162	65000
6	942	162	61000
6	958	162	66000
6	974	162	64000
6	990	162	65000
6	830	146	63000
6	846	146	67000
6	862	146	66000
6	878	146	67000
6	894	146	66000
6	910	146	64000
6	926	146	65000
6	958	146	63000
6	974	146	67000
6	990	146	62000
6	830	130	61000
6	846	130	62000
6	862	130	61000
6	878	130	66000
6	894	130	65000
6	910	130	61000
6	926	130	62000
6	958	130	61000
6	974	130	62000
6	878	114	61000
6	894	114	62000

6	1888	178	61000
6	1904	178	66000
6	1920	178	64000
6	1936	178	65000
6	1904	162	63000
6	1920	162	67000
6	1936	162	62000
6	1904	146	61000
6	1920	146	62000

6	2368	178	63000
6	2384	178	64000
6	2400	178	64000
6	2416	178	64000
6	2432	178	64000
6	2448	178	65000
6	2368	162	63000
6	2384	162	64000
6	2400	162	64000
6	2416	162	64000
6	2432	162	67000
6	2448	162	62000
6	2368	146	63000
6	2384	146	64000
6	2400	146	64000
6	2416	146	64000
6	2432	146	65000
6	2368	130	61000
6	2384	130	66000
6	2400	130	64000
6	2416	130	64000
6	2432	130	65000
6	2384	114	61000
6	2400	114	66000
6	2416	114	64000
6	2432	114	65000
6	2400	98	63000
6	2416	98	64000
6	2432	98	65000
6	2400	82	63000
6	2416	82	67000
6	2432	82	62000
6	2400	66	61000
6	2416	66	62000


